"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J5,J4";"PinSocket_1x02_P1.00mm_Vertical";2;"Conn_01x02";;;
2;"C13,C10,C11,C3,C4,C2,C12,C7";"C_0805_2012Metric";8;"100nF";;;
3;"C1,C5";"C_0805_2012Metric";2;"1uF";;;
4;"C14,C15";"C_0805_2012Metric";2;"20pf";;;
5;"J8,J2,J7,J1,J9";"PinSocket_1x03_P1.00mm_Vertical";5;"Conn_01x03";;;
6;"J3";"PinSocket_1x04_P1.00mm_Vertical";1;"Conn_01x04";;;
7;"U6";"ST_HLGA-10_2.5x2.5mm_P0.6mm_LayoutBorder3x2y";1;"LPS25HB";;;
8;"U7";"LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y";1;"ADXL343";;;
9;"R1,R4";"R_0805_2012Metric";2;"4.7k";;;
10;"R2";"R_0805_2012Metric";1;"47k";;;
11;"Q2";"TO-92_Inline";1;"BC337";;;
12;"R11,R3,R10";"R_0805_2012Metric";3;"10k";;;
13;"C6,C8,C9";"C_0805_2012Metric";3;"4.7uF";;;
14;"R7,R5";"R_0805_2012Metric";2;"100R";;;
15;"U4";"InvenSense_QFN-24_3x3mm_P0.4mm";1;"ICM-20948";;;
16;"Y1";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"Crystal";;;
17;"U3";"SOT-23-5";1;"TLV70233_SOT23-5";;;
18;"U5";"LQFP-64_10x10mm_P0.5mm";1;"STM32F405RGTx";;;
19;"U2";"Quectel_L80-R";1;"L80-R";;;
20;"Q1";"SOT-23";1;"MMBT5551L";;;
21;"U1";"MSOP-8_3x3mm_P0.65mm";1;"DS1825";;;
22;"J6";"PinHeader_1x06_P2.00mm_Vertical";1;"Conn_01x06";;;
